Id,SalePrice
1461,180417.11834059484
1462,180417.11834059484
1463,180417.11834059484
1464,180417.11834059484
1465,180417.11834059484
1466,180417.11834059484
1467,180417.11834059484
1468,180417.11834059484
1469,180417.11834059484
1470,180417.11834059484
1471,180417.11834059484
1472,180417.11834059484
1473,180417.11834059484
1474,180417.11834059484
1475,180417.11834059484
1476,180417.11834059484
1477,180417.11834059484
1478,180417.11834059484
1479,180417.11834059484
1480,180417.11834059484
1481,180417.11834059484
1482,180417.11834059484
1483,180417.11834059484
1484,180417.11834059484
1485,180417.11834059484
1486,180417.11834059484
1487,180417.11834059484
1488,180417.11834059484
1489,180417.11834059484
1490,180417.11834059484
1491,180417.11834059484
1492,180417.11834059484
1493,180417.11834059484
1494,180417.11834059484
1495,180417.11834059484
1496,180417.11834059484
1497,180417.11834059484
1498,180417.11834059484
1499,180417.11834059484
1500,180417.11834059484
1501,180417.11834059484
1502,180417.11834059484
1503,180417.11834059484
1504,180417.11834059484
1505,180417.11834059484
1506,180417.11834059484
1507,180417.11834059484
1508,180417.11834059484
1509,180417.11834059484
1510,180417.11834059484
1511,180417.11834059484
1512,180417.11834059484
1513,180417.11834059484
1514,180417.11834059484
1515,180417.11834059484
1516,180417.11834059484
1517,180417.11834059484
1518,180417.11834059484
1519,180417.11834059484
1520,180417.11834059484
1521,180417.11834059484
1522,180417.11834059484
1523,180417.11834059484
1524,180417.11834059484
1525,180417.11834059484
1526,180417.11834059484
1527,180417.11834059484
1528,180417.11834059484
1529,180417.11834059484
1530,180417.11834059484
1531,180417.11834059484
1532,180417.11834059484
1533,180417.11834059484
1534,180417.11834059484
1535,180417.11834059484
1536,180417.11834059484
1537,180417.11834059484
1538,180417.11834059484
1539,180417.11834059484
1540,180417.11834059484
1541,180417.11834059484
1542,180417.11834059484
1543,180417.11834059484
1544,180417.11834059484
1545,180417.11834059484
1546,180417.11834059484
1547,180417.11834059484
1548,180417.11834059484
1549,180417.11834059484
1550,180417.11834059484
1551,180417.11834059484
1552,180417.11834059484
1553,180417.11834059484
1554,180417.11834059484
1555,180417.11834059484
1556,180417.11834059484
1557,180417.11834059484
1558,180417.11834059484
1559,180417.11834059484
1560,180417.11834059484
1561,180417.11834059484
1562,180417.11834059484
1563,180417.11834059484
1564,180417.11834059484
1565,180417.11834059484
1566,180417.11834059484
1567,180417.11834059484
